start,end,midi,note,velocity,confidence
121.515,121.595,63,D#4,88,0.927
121.595,122.155,64,E4,64,0.815
122.155,122.275,63,D#4,85,0.389
122.275,122.495,64,E4,86,0.554
122.495,122.895,67,G4,83,0.862
122.955,123.205,67,G4,78,0.851
123.205,123.565,68,G#4,83,0.849
123.615,123.735,63,D#4,91,0.759
123.735,123.835,65,F4,84,0.597
123.835,124.015,63,D#4,86,0.861
124.015,124.345,64,E4,87,0.915
124.345,126.315,63,D#4,86,0.96
126.375,126.675,63,D#4,56,0.847
130.025,130.125,56,G#3,68,0.329
130.125,130.345,60,C4,85,0.692
130.345,130.715,63,D#4,89,0.887
130.715,130.795,60,C4,90,0.784
130.855,130.955,62,D4,55,0.384
130.955,131.345,60,C4,97,0.833
131.345,131.465,58,A#3,95,0.741
131.465,131.675,56,G#3,90,0.712
131.675,131.755,55,G3,90,0.704
131.755,132.005,56,G#3,85,0.586
132.125,132.565,63,D#4,91,0.872
132.565,132.925,62,D4,75,0.654
132.925,133.025,63,D#4,48,0.327
133.135,133.215,62,D4,48,0.275
133.245,133.325,59,B3,93,0.69
133.325,133.525,60,C4,94,0.762
133.525,133.765,61,C#4,94,0.676
133.815,133.985,64,E4,87,0.833
133.985,134.245,63,D#4,83,0.768
134.245,134.415,66,F#4,77,0.748
134.415,134.505,64,E4,81,0.621
134.585,134.825,66,F#4,79,0.694
134.825,136.105,64,E4,73,0.891
136.105,136.195,65,F4,68,0.898
136.195,136.355,64,E4,48,0.337
136.745,136.805,62,D4,87,0.776
136.805,136.935,64,E4,84,0.946
136.935,137.035,63,D#4,51,0.226
137.075,137.235,68,G#4,82,0.78
137.235,137.615,67,G4,83,0.661
137.615,138.295,68,G#4,79,0.76
138.345,138.435,63,D#4,81,0.479
138.515,138.585,64,E4,78,0.537
138.585,138.715,63,D#4,82,0.665
138.745,138.835,63,D#4,84,0.252
138.835,138.905,62,D4,72,0.241
138.905,139.015,61,C#4,68,0.32
139.015,139.225,63,D#4,83,0.678
139.305,139.505,68,G#4,88,0.451
139.505,139.805,63,D#4,86,0.286
139.805,139.995,68,G#4,87,0.445
140.065,140.415,68,G#4,87,0.425
140.605,140.985,67,G4,91,0.726
141.105,141.165,66,F#4,92,0.668
141.255,141.545,68,G#4,90,0.924
141.545,141.785,67,G4,99,0.878
141.785,141.905,63,D#4,95,0.942
141.905,142.175,64,E4,96,0.826
142.175,142.285,67,G4,80,0.51
142.285,143.965,63,D#4,82,0.892
144.075,144.365,63,D#4,88,0.888
144.365,144.675,64,E4,79,0.786
144.715,145.105,68,G#4,70,0.733
145.105,145.245,70,A#4,68,0.823
145.245,145.435,68,G#4,57,0.442
145.435,146.325,72,C5,76,0.897
146.455,147.175,72,C5,77,0.795
147.275,147.415,72,C5,48,0.184
147.505,147.595,72,C5,48,0.592
147.645,147.905,63,D#4,76,0.863
147.905,147.995,65,F4,74,0.836
147.995,148.105,64,E4,48,0.293
148.105,148.205,67,G4,68,0.752
